Name,Distinction,Cuisine
Portale, ,Italian
Eléa, ,Greek
Golden Unicorn, ,Chinese
Francie,1 Star,Contemporary
Gallaghers, ,Steakhouse
Upland, ,Mediterranean
Avant Garden, ,Vegan
Masa,3 Stars,Japanese
Cote,1 Star,Korean
Georgian Cuisine,Bib Gourmand,Central
Fausto, ,Italian
Orsay, ,French
Moti Mahal Delux, ,Indian
HanGawi,Bib Gourmand,Korean
Lupa, ,Italian
The River Café, ,Contemporary
Shion 69 Leonard Street,1 Star,Japanese
Towa, ,Japanese
L’Abeille,1 Star,French
Tredici Social,Bib Gourmand,American
Oxomoco,1 Star,Mexican
Shalom Japan,Bib Gourmand,Fusion
Hao Noodle and Tea,Bib Gourmand,Chinese
The Dutch, ,American
Café Alaia,Bib Gourmand,Italian
Una Pizza Napoletana,Bib Gourmand,Pizza
LORE, ,Contemporary
Place des Fêtes, ,Contemporary
Meadowsweet, ,Mediterranean
Burrata,Bib Gourmand,Italian
Kanoyama, ,Japanese
Maria Restaurant,Bib Gourmand,Italian
Çka Ka Qëllu, ,Balkan
Koyo, ,Japanese
4 Charles Prime Rib, ,Steakhouse
MáLà Project,Bib Gourmand,Chinese
Jungsik,2 Stars,Korean
Restaurant Yuu,1 Star,French
Ipanema, ,Brazilian
Potluck Club,Bib Gourmand,Chinese
Yao Yao,Bib Gourmand,Chinese
Indienne,1 Star,Indian
Gioia Ristorante e Pastificio, ,Italian
KŌMO, ,Japanese
Heritage Restaurant & Caviar Bar, ,Contemporary
Nella Pizza e Pasta,Bib Gourmand,Italian
Porto,1 Star,Portuguese
Girl & The Goat,Bib Gourmand,Contemporary
Mama Delia,Bib Gourmand,Spanish
Qiao Lin Hotpot, ,Chinese
Smyth,3 Stars,Contemporary
Sushi Dokku, ,Japanese
Tan Lu, ,Chinese
Testaccio, ,Mediterranean
The Perch, ,American
Topolobampo,1 Star,Mexican
gather, ,Contemporary
etta,Bib Gourmand,Italian
Esmé,1 Star,Contemporary
The Dawson, ,Gastropub
Proxi,Bib Gourmand,International
Swift & Sons, ,Steakhouse
Mott St.,Bib Gourmand,Fusion
Chef’s Special Cocktail Bar,Bib Gourmand,Chinese
1308 Chicago, ,Contemporary
GG's Chicken Shop, ,American
Bloom Plant Based Kitchen,Bib Gourmand,Vegan
Tzuco, ,Mexican
La Josie,Bib Gourmand,Mexican
Next,1 Star,Contemporary
Ghin Khao,Bib Gourmand,Thai
5 Rabanitos, ,Mexican
Pizza Friendly Pizza, ,Pizza
Gaijin, ,Japanese
Andros Taverna, ,Greek
Provaré, ,Fusion
Kyoten Next Door, ,Sushi
Obélix, ,French
Kie-Gol-Lanee,Bib Gourmand,Mexican
MCCB, ,Chinese
Monteverde, ,Italian
Swift & Sons Tavern & Oyster Bar, ,American
Brindille, ,French
Rose Mary, ,Croatian
Perilla,Bib Gourmand,Korean
Adorn, ,American
Sochi,Bib Gourmand,Vietnamese
Hinoki Sushiko, ,Japanese
Fiya, ,Israeli
Cira,Bib Gourmand,Mediterranean
Gilt Bar,Bib Gourmand,Gastropub
Chez Joël, ,French
S.K.Y., ,Contemporary
Cellar Door Provisions,Bib Gourmand,Mediterranean
Roux, ,Southern
Itoko, ,Japanese
Boonie's,Bib Gourmand,Filipino
Elina's, ,Italian
Lou Mitchell's, ,American
Oriole,2 Stars,Contemporary
Mako,1 Star,Japanese
Nhà Hàng Vietnam, ,Vietnamese
Galit,1 Star,Middle
Jeong, ,Korean
Dear Margaret,Bib Gourmand,Contemporary
